coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
35.85,71.79,800,Clear,clear sky,01n,stations,41.98,1017.01,49,41.98,41.98,,5.46,342.331,8,1569947008,,,0.0104,PK,1569892032,1569934684,18000,1181065,Chitral,200
55.74,-97.86,802,Clouds,scattered clouds,03d,stations,35.6,1025,64,35.6,35.6,24140,3.36,180,40,1569947008,1,935,0.0059,CA,1569933231,1569974897,-18000,6165406,Thompson,200
54.77,-101.88,803,Clouds,broken clouds,04d,stations,37.4,1025,59,37.4,37.4,24140,3.36,90,75,1569947009,1,782,0.0088,CA,1569934166,1569975891,-18000,5954718,Flin Flon,200
-23.7,133.88,800,Clear,clear sky,01n,stations,77,1020,21,77,77,10000,9.17,60,0,1569947009,1,9483,0.0058,AU,1569962671,1570007007,34200,2077895,Alice Springs,200
42.45,-87.83,801,Clouds,few clouds,02d,stations,77.16,1014,78,71.01,81,16093,9.17,230,20,1569947010,1,6126,0.0106,US,1569930483,1569972831,-18000,4917358,Zion,200
-38.07,174.82,800,Clear,clear sky,01n,stations,42.01,1009,91,42.01,42.01,,22.68,212.649,0,1569947010,3,2002030,0.0067,NZ,1569952546,1569997486,46800,2185537,Kawhia,200
8.51,-77.28,803,Clouds,broken clouds,04d,stations,81.58,1011.3,67,81.58,81.58,,4.85,220.194,77,1569947010,,,0.0067,CO,1569927438,1569970814,-18000,3690572,Acandi,200
43.36,77.47,804,Clouds,overcast clouds,04n,stations,50,1023,61,50,50,10000,11.18,210,90,1569947011,1,8818,0.0056,KZ,1569890799,1569933191,21600,1523741,Esik,200
18.47,120.58,802,Clouds,scattered clouds,03n,stations,78.8,1012,94,78.8,78.8,10000,2.24,,40,1569947011,1,8159,0.0065,PH,1569966488,1570009574,28800,1715335,Davila,200
24.14,74.05,500,Rain,light rain,10n,stations,77.26,1009.29,82,77.26,77.26,,5.44,248.352,17,1569947011,,,0.0074,IN,1569891319,1569934312,19800,1257588,Salumbar,200
-45.87,170.5,500,Rain,light rain,10n,stations,50,997,67,50,50,,28.01,259,93,1569947012,3,75281,0.006,NZ,1569953353,1569998752,46800,2191562,Dunedin,200
-8.28,-70.75,804,Clouds,overcast clouds,04d,stations,90.4,1011.62,43,90.4,90.4,,4.65,16.226,100,1569947012,,,0.0087,BR,1569925647,1569969471,-18000,3661980,Tamandare,200
-31.43,152.91,802,Clouds,scattered clouds,03n,stations,51.46,1029,93,50,54,,2.01,301.018,41,1569947012,1,9610,0.0074,AU,1569957955,1570002591,36000,2152659,Port Macquarie,200
-28.23,28.31,803,Clouds,broken clouds,04n,stations,61.6,1017.81,28,61.6,61.6,,10.83,32.752,80,1569947013,,,0.0051,ZA,1569901571,1569946009,7200,1019704,Bethlehem,200
55.93,110.1,803,Clouds,broken clouds,04n,stations,27.4,1029.19,74,27.4,27.4,,5.79,350.876,83,1569947013,,,0.0067,RU,1569969777,1570011313,28800,2022129,Kichera,200
62.93,152.39,802,Clouds,scattered clouds,03n,stations,14.44,1011.66,87,14.44,14.44,,2.04,158.714,35,1569947013,,,0.0058,RU,1569959911,1570000885,39600,2121373,Seymchan,200
18.74,7.39,803,Clouds,broken clouds,04d,stations,103.54,1006.35,9,103.54,103.54,,8.77,4.239,63,1569947014,,,0.0062,NE,1569907249,1569950371,3600,2447513,Arlit,200
-46.28,169.85,501,Rain,moderate rain,10n,stations,44.01,998,74,44.01,44.01,,5.99,270,72,1569947014,3,2000217,0.0063,NZ,1569953495,1569998922,46800,2208248,Kaitangata,200
14.3,-91.92,802,Clouds,scattered clouds,03d,stations,82.4,1013,78,82.4,82.4,10000,4.7,120,40,1569947014,1,7068,0.0063,GT,1569931027,1569974250,-21600,3598787,Champerico,200
-21.74,-48.69,800,Clear,clear sky,01d,stations,92.2,1012.23,30,92.2,92.2,,9.71,3.961,0,1569947015,,,0.0058,BR,1569920151,1569964380,-10800,3447200,Tabatinga,200
67.47,86.57,804,Clouds,overcast clouds,04n,stations,33.16,1012.54,97,33.16,33.16,,15.1,158.52,100,1569947015,,,0.0077,RU,1569889418,1569930204,25200,1505991,Igarka,200
-43.76,172.3,804,Clouds,overcast clouds,04n,stations,42.51,1001,86,37,48,10000,6.93,30,100,1569947015,1,7348,0.0073,NZ,1569952989,1569998252,46800,2188444,Leeston,200
-13.08,-76.38,804,Clouds,overcast clouds,04d,stations,62.5,1016.21,84,62.5,62.5,,8.25,228.105,100,1569947016,,,0.0067,PE,1569926929,1569970891,-18000,3928993,San Vicente de Canete,200
66.77,123.37,803,Clouds,broken clouds,04n,stations,23.62,1015.71,81,23.62,23.62,,6.46,311.119,59,1569947016,,,0.0059,RU,1569967121,1570007601,32400,2012530,Zhigansk,200
71.97,114.09,804,Clouds,overcast clouds,04n,stations,25.78,1013.8,95,25.78,25.78,,13.58,310.408,95,1569947017,,,0.0062,RU,1569969813,1570009363,32400,2017155,Saskylakh,200
2.02,112.94,501,Rain,moderate rain,10n,stations,71.68,1014.25,99,71.68,71.68,,1.32,104.461,100,1569947017,,,0.0066,MY,1569968092,1570011635,28800,1737185,Kapit,200
-7.24,35.72,801,Clouds,few clouds,02n,stations,80.6,1016,44,80.6,80.6,10000,20.8,90,20,1569947018,1,2611,0.0065,TZ,1569900118,1569943906,10800,158825,Izazi,200
46.72,-92.46,500,Rain,light rain,10d,stations,49.66,1018,81,46.4,52,16093,6.93,310,90,1569946976,1,3682,0.0074,US,1569931687,1569973850,-18000,5021632,Cloquet,200
36.73,-108.21,800,Clear,clear sky,01d,stations,61.84,1015,25,55.99,68,16093,5.82,70,1,1569946987,1,4117,0.0061,US,1569935270,1569977824,-21600,5467328,Farmington,200
33.93,134.5,803,Clouds,broken clouds,04n,stations,74.41,1018,88,73.99,75.2,10000,6.93,200,75,1569947019,1,8027,0.0071,JP,1569963386,1570005995,32400,1865309,Katsuura,200
60.79,-161.76,803,Clouds,broken clouds,04n,stations,39.27,1016,93,37.4,41,16093,11.41,300,75,1569947019,1,7640,0.0072,US,1569948784,1569990009,-28800,5880568,Bethel,200
5.4,-75.55,802,Clouds,scattered clouds,03d,stations,77,1020,65,77,77,10000,4.7,290,40,1569947019,1,8610,0.0101,CO,1569926982,1569970440,-18000,3687951,La Merced,200
68.56,14.91,800,Clear,clear sky,01d,stations,48.24,1000,57,46,50,10000,12.75,50,0,1569947019,1,1669,0.0081,NO,1569906732,1569947279,7200,3136690,Stokmarknes,200
-0.46,39.64,803,Clouds,broken clouds,04n,stations,90.22,1006.87,44,90.22,90.22,,16.17,119.272,82,1569947020,,,0.0102,KE,1569899266,1569942877,10800,197745,Garissa,200
46.83,-100.89,804,Clouds,overcast clouds,04d,stations,40.57,1023,86,39,42.8,16093,10.29,10,90,1569946729,1,6313,0.0062,US,1569933715,1569975867,-18000,5690366,Mandan,200
23.26,82.56,804,Clouds,overcast clouds,04n,stations,70.78,1010.62,91,70.78,70.78,,1.54,245.508,100,1569947021,,,0.0063,IN,1569889264,1569932282,19800,1277769,Baikunthpur,200
19.22,-104.7,804,Clouds,overcast clouds,04d,stations,77,1012,100,77,77,16093,1.36,60.243,90,1569947021,1,7166,0.0073,MX,1569934161,1569977250,-18000,3985168,San Patricio,200
15.28,-23.77,801,Clouds,few clouds,02d,stations,78.16,1012.95,83,78.16,78.16,,9.95,40.87,18,1569947021,,,0.0071,CV,1569914683,1569957890,-3600,3374166,Tarrafal,200
8.2,-59.78,501,Rain,moderate rain,10d,stations,82.84,1011.59,84,82.84,82.84,,3.78,89.559,100,1569947022,,,0.0062,GY,1569923234,1569966620,-14400,3377301,Mabaruma,200
63.84,-22.43,803,Clouds,broken clouds,04d,stations,48.2,1020,76,48.2,48.2,10000,5.82,70,75,1569947022,1,90,0.0062,IS,1569915429,1569956501,0,3416888,Grindavik,200
