coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
-28.58,-70.76,800,Clear,clear sky,01n,stations,41.81,1014.88,92,41.81,41.81,,0.85,317.425,1,1561702125,,,0.0064,CL,1561721769,1561758968,-14400,3868633,Vallenar,200
37.08,57.51,801,Clouds,few clouds,02d,stations,77,1013,61,77,77,10000,4.7,20,20,1561702263,1,7488,0.0079,IR,1561683133,1561736027,16200,135298,Esfarayen,200
-17.35,49.03,803,Clouds,broken clouds,04d,stations,68.81,1019.98,86,68.81,68.81,,3,136.427,58,1561702264,,,0.0061,MG,1561691642,1561731589,10800,1054035,Vohibinany,200
69.49,88.39,800,Clear,clear sky,01d,stations,55.4,1010,62,55.4,55.4,10000,20.13,30,0,1561702023,1,8951,0.0058,RU,0,0,25200,1490256,Talnakh,200
37.45,116.31,804,Clouds,overcast clouds,04d,stations,88.79,997.06,42,88.79,88.79,,14.32,164.047,94,1561702264,,,0.006,CN,1561668951,1561721981,28800,1812955,Dezhou,200
42.84,93.51,800,Clear,clear sky,01d,stations,86.99,1003.33,10,86.99,86.99,,1.48,236.286,0,1561701706,,,0.0086,CN,1561673364,1561728513,28800,1529484,Hami,200
69.22,-51.1,804,Clouds,overcast clouds,04d,stations,39.2,1018,80,39.2,39.2,,8.05,190,98,1561701716,1,165,0.0069,GL,0,0,-7200,3423146,Ilulissat,200
-46.28,169.85,800,Clear,clear sky,01n,stations,46,1034,66,46,46,,1.99,270,3,1561701954,3,2000217,0.0068,NZ,1561667093,1561698136,43200,2208248,Kaitangata,200
64.57,143.24,803,Clouds,broken clouds,04d,stations,64.67,1004.12,26,64.67,64.67,,10.78,23.622,51,1561702265,,,0.0079,RU,1561650470,1561727534,36000,2120048,Ust-Nera,200
-24.87,113.63,802,Clouds,scattered clouds,03d,stations,68,1023,56,68,68,10000,14.99,140,40,1561701980,1,9505,0.0107,AU,1561677030,1561715188,28800,2074865,Carnarvon,200
-11.38,43.28,801,Clouds,few clouds,02d,stations,77,1018,78,77,77,10000,8.05,180,20,1561702266,1,2129,0.0061,KM,1561692367,1561733624,10800,921786,Mitsamiouli,200
-22.35,16.13,802,Clouds,scattered clouds,03d,stations,49.73,1019.45,54,49.73,49.73,,3.44,79.019,27,1561702266,,,0.0057,NA,1561700122,1561738903,7200,3353871,Otjimbingwe,200
62.45,-114.38,801,Clouds,few clouds,02n,stations,57.11,1025,50,57,57.2,24140,2.24,,20,1561701937,1,1007,0.0066,CA,1561715036,1561786642,-21600,6185377,Yellowknife,200
-33.59,26.89,800,Clear,clear sky,01d,stations,61,1012,61,61,61,,3,312,0,1561701708,3,2011314,0.0057,ZA,1561699047,1561734813,7200,964432,Port Alfred,200
28.37,129.48,803,Clouds,broken clouds,04d,stations,81.45,1005,88,80.6,82.4,10000,14.99,220,75,1561701719,1,8013,0.0066,JP,1561667222,1561717388,32400,1855540,Naze,200
42.77,-9.06,741,Fog,fog,50d,stations,55.54,1020,100,48.99,63,2200,3.36,140,20,1561702267,1,6434,0.0077,ES,1561698003,1561753115,7200,3115824,Muros,200
71.97,114.09,500,Rain,light rain,10d,stations,51.35,1011.29,70,51.35,51.35,,12.97,106.718,100,1561701959,,,0.0083,RU,0,0,32400,2017155,Saskylakh,200
13.32,12.61,804,Clouds,overcast clouds,04d,stations,87.35,1011.08,41,87.35,87.35,,11.03,195.397,96,1561702267,,,0.0071,NE,1561697129,1561743586,3600,2445704,Diffa,200
13.04,8.32,803,Clouds,broken clouds,04d,stations,80.69,1011.8,66,80.69,80.69,,9.62,243.53,56,1561702267,,,0.0066,NG,1561698190,1561744584,3600,2345094,Daura,200
-33.01,17.94,803,Clouds,broken clouds,04d,stations,53.6,1014,93,53.6,53.6,,6.93,360,56,1561702073,1,1943,0.007,ZA,1561701108,1561737048,7200,3361934,Saldanha,200
62.23,-6.59,301,Drizzle,drizzle,09d,stations,50,1025,100,50,50,2100,11.41,250,100,1561701965,1,1596,0.0063,FO,1561689358,1561760573,3600,2618795,Klaksvik,200
37.35,-108.58,800,Clear,clear sky,01n,stations,53.06,1023,50,45,57.99,16093,6.93,60,1,1561702268,1,3600,0.0064,US,1561722957,1561775937,-21600,5418104,Cortez,200
-37.62,-73.65,500,Rain,light rain,10n,stations,53.69,1008.33,81,53.69,53.69,,4.18,282.12,48,1561701941,,,0.0065,CL,1561723821,1561758303,-14400,3883457,Lebu,200
10.57,72.64,804,Clouds,overcast clouds,04d,stations,83.57,1010.7,74,83.57,83.57,,16.46,279.562,98,1561701702,,,0.0061,IN,1561683020,1561728876,19800,1267390,Kavaratti,200
-35.34,143.56,500,Rain,light rain,10d,stations,66.11,1020.94,56,66.11,66.11,,14.03,14.871,10,1561702269,,,0.0057,AU,1561671316,1561706534,36000,2147756,Swan Hill,200
-0.74,-90.35,800,Clear,clear sky,01n,stations,70,1010,94,70,70,,12.12,178.414,1,1561701705,3,2005652,0.0079,EC,1561723330,1561766812,-21600,3652764,Puerto Ayora,200
65.28,-126.83,802,Clouds,scattered clouds,03n,stations,68,1017,40,68,68,48279,8.05,100,40,1561701755,1,951,0.0068,CA,1561713882,1561793773,-21600,6089245,Norman Wells,200
-41.77,-73.13,800,Clear,clear sky,01n,stations,32,1010,72,32,32,10000,6.93,230,0,1561702270,1,8523,0.0059,CL,1561724449,1561757426,-14400,3897334,Calbuco,200
16.42,-3.66,802,Clouds,scattered clouds,03d,stations,91.31,1008.21,29,91.31,91.31,,13.15,219.287,31,1561702270,,,0.0133,ML,1561700685,1561747840,0,2456917,Goundam,200
63.29,118.35,804,Clouds,overcast clouds,04d,stations,83.39,1010.09,36,83.39,83.39,,8.46,357.117,87,1561702271,,,0.0151,RU,1561658247,1561731705,32400,2018735,Nyurba,200
-39.94,176.59,800,Clear,clear sky,01n,stations,41,1037,87,41,41,,3,22,0,1561702271,3,2010964,0.0069,NZ,1561664171,1561697823,43200,2185329,Waipawa,200
32.38,-64.68,801,Clouds,few clouds,02n,stations,77.94,1021,94,77,78.8,10000,9.17,220,20,1561701953,1,8816,0.0071,BM,1561713241,1561764578,-10800,3573061,Saint George,200
18.69,12.92,800,Clear,clear sky,01d,stations,89.51,1009.89,19,89.51,89.51,,7.31,227.27,3,1561702118,,,0.0084,NE,1561696441,1561744125,3600,2446796,Bilma,200
-20.41,57.7,521,Rain,shower rain,09d,stations,75.09,1022,78,75,75.2,10000,14.99,120,40,1561701702,1,2061,0.0081,MU,1561689913,1561729155,14400,934322,Mahebourg,200
69.44,-133.03,803,Clouds,broken clouds,04d,stations,42.8,1019,75,42.8,42.8,24140,10.29,360,75,1561702007,1,942,0.0079,CA,0,0,-21600,6170031,Tuktoyaktuk,200
37.46,-122.43,801,Clouds,few clouds,02n,stations,58.62,1019,87,55,62.6,16093,9.17,340,20,1561701971,1,4322,0.011,US,1561639840,1561692879,-25200,5354943,Half Moon Bay,200
38.78,63.88,803,Clouds,broken clouds,04d,stations,87.8,1005,27,87.8,87.8,10000,18.34,340,75,1561702272,1,8994,0.0072,TM,1561681294,1561734807,18000,1218436,Sayat,200
-46.13,167.69,804,Clouds,overcast clouds,04n,stations,51.01,1034,86,51.01,51.01,,8.01,240,100,1561702028,3,2008959,0.0073,NZ,1561667577,1561698689,43200,2180815,Tuatapere,200
69.7,170.27,803,Clouds,broken clouds,04d,stations,36.59,1008.32,92,36.59,36.59,,12.28,41.509,78,1561701951,,,0.0085,RU,0,0,43200,2122090,Pevek,200
13.6,26.69,804,Clouds,overcast clouds,04d,stations,87.89,1009.91,42,87.89,87.89,,13.58,224.486,90,1561702273,,,0.0083,SD,1561693718,1561740237,7200,364933,Umm Kaddadah,200
60.14,-45.24,804,Clouds,overcast clouds,04d,stations,36.59,1014.81,99,36.59,36.59,,2.71,176.208,99,1561702018,,,0.0065,GL,1561700310,1561768176,-7200,3421765,Nanortalik,200
4.38,-7.71,804,Clouds,overcast clouds,04n,stations,76.73,1013.5,84,76.73,76.73,,9.73,160.386,98,1561702274,,,0.0068,LR,1561702964,1561747506,0,2276492,Harper,200
78.22,15.64,802,Clouds,scattered clouds,03d,stations,35.6,999,64,35.6,35.6,10000,28.86,100,40,1561702085,1,1663,0.0063,SJ,0,0,7200,2729907,Longyearbyen,200
27.87,-0.29,800,Clear,clear sky,01d,stations,89.6,1008,8,89.6,89.6,10000,8.05,40,0,1561702274,1,1098,0.0055,DZ,1561698443,1561748464,3600,2508813,Adrar,200
-15.33,28.68,800,Clear,clear sky,01d,stations,58.91,1022.53,55,58.91,58.91,,2.86,64.319,0,1561702274,,,0.0055,ZM,1561696301,1561736699,7200,917688,Chongwe,200
70.37,31.11,520,Rain,light intensity shower rain,09d,stations,43.14,1003,80,41,44.6,10000,21.92,250,75,1561702153,1,1618,0.0103,NO,0,0,7200,777019,Vardo,200
37.72,-25.43,801,Clouds,few clouds,02n,stations,62.6,1021,77,62.6,62.6,10000,5.82,310,20,1561702104,1,6899,0.0062,PT,1561702929,1561756047,0,3372472,Vila Franca do Campo,200
-20.73,139.49,800,Clear,clear sky,01d,stations,80.6,1017,32,80.6,80.6,10000,8.05,50,1,1561702275,1,9495,0.0072,AU,1561670320,1561709484,36000,2065594,Mount Isa,200
-10.16,123.6,801,Clouds,few clouds,02d,stations,86,1012,40,86,86,7000,12.75,130,20,1561701988,1,9364,0.006,ID,1561672958,1561714474,28800,2057087,Kupang,200
64.42,-173.23,500,Rain,light rain,10n,stations,51.8,1012,87,51.8,51.8,10000,8.95,130,90,1561701725,1,8875,0.0082,RU,1561726753,1561803176,43200,4031574,Provideniya,200
70.24,22.35,520,Rain,light intensity shower rain,09d,stations,44.65,1005,81,42.8,46.4,10000,29.97,260,75,1561702167,1,1634,0.0072,NO,0,0,7200,778362,Oksfjord,200
-20.01,148.25,803,Clouds,broken clouds,04d,stations,74.28,1020,64,73,75.2,10000,24.16,120,82,1561702276,1,9503,0.0054,AU,1561668133,1561707466,36000,2174444,Bowen,200
-22.97,-42.02,800,Clear,clear sky,01n,stations,71.69,1019.04,84,71.69,71.69,,4.29,21.435,0,1561701710,,,0.0066,BR,1561714154,1561752787,-10800,3471451,Arraial do Cabo,200
54.87,24.45,803,Clouds,broken clouds,04d,stations,57.2,1014,62,55.4,59,10000,8.05,300,75,1561702105,1,1880,0.006,LT,1561686376,1561748654,10800,598567,Kaisiadorys,200
-25.97,32.57,801,Clouds,few clouds,02d,stations,59,1021,87,59,59,10000,6.93,320,20,1561702049,1,2202,0.0191,MZ,1561696626,1561734507,7200,1040652,Maputo,200
65.83,21.69,800,Clear,clear sky,01d,stations,51.8,1013,53,51.8,51.8,10000,14.99,320,0,1561702277,1,1775,0.0068,SE,1561675863,1561760493,7200,606531,Boden,200
70.86,29.09,520,Rain,light intensity shower rain,09d,stations,41.94,1003,80,41,42.8,10000,21.92,250,75,1561702072,1,1618,0.0083,NO,0,0,7200,780687,Berlevag,200
-17.97,122.23,800,Clear,clear sky,01d,stations,82.4,1015,21,82.4,82.4,10000,9.17,220,0,1561702092,1,9500,0.007,AU,1561674143,1561713947,28800,2075720,Broome,200
50.85,142.66,803,Clouds,broken clouds,04d,stations,66.83,1004.39,38,66.83,66.83,,6.33,279.222,84,1561702278,,,0.0054,RU,1561659463,1561718819,39600,2120334,Tymovskoye,200
-7.93,-14.42,802,Clouds,scattered clouds,03n,stations,75.65,1015.46,64,75.65,75.65,,18.61,117.625,27,1561701992,,,0.0059,SH,1561705851,1561747840,0,2411397,Georgetown,200
-28.65,153.62,802,Clouds,scattered clouds,03d,stations,67.73,1027,68,64.99,69.8,10000,12.75,170,40,1561702278,1,9486,0.0069,AU,1561667924,1561705096,36000,2172880,Byron Bay,200
10.76,79.84,804,Clouds,overcast clouds,04d,stations,97.61,1006.58,33,97.61,97.61,,11.63,273.781,92,1561702279,,,0.0084,IN,1561681271,1561727168,19800,1262260,Nagapattinam,200
22.31,89.79,501,Rain,moderate rain,10d,stations,94.73,998.55,52,94.73,94.73,,11.74,207.703,94,1561702279,,,0.0066,BD,1561677550,1561726114,21600,1185239,Sarankhola,200
-20.07,146.27,804,Clouds,overcast clouds,04d,stations,71.87,1018.48,62,71.87,71.87,,14.99,86.809,100,1561702279,,,0.0057,AU,1561668615,1561707934,36000,2171722,Charters Towers,200
-22.67,167.48,500,Rain,light rain,10d,stations,70.43,1014.22,81,70.43,70.43,,21.25,139.086,100,1561701966,,,0.0071,NC,1561663834,1561702533,39600,2137773,Vao,200
56.36,114.84,803,Clouds,broken clouds,04d,stations,69.17,1005.8,40,69.17,69.17,,16.2,25.28,51,1561702280,,,0.0053,RU,1561664013,1561727625,28800,2015701,Taksimo,200
-28,153.41,802,Clouds,scattered clouds,03d,stations,68.41,1027,68,66,70,10000,12.75,170,40,1561702079,1,9486,0.0094,AU,1561667888,1561705234,36000,2165087,Gold Coast,200
64.84,-147.72,711,Smoke,smoke,50n,stations,67.19,1018,52,64,71.6,6437,4.7,60,75,1561701539,1,7684,0.0063,US,1561633381,1561711479,-28800,5861897,Fairbanks,200
7.35,80.68,804,Clouds,overcast clouds,04d,stations,87.17,1008.63,54,87.17,87.17,,10.69,232.416,96,1561702281,,,0.007,LK,1561681435,1561726602,19800,1241622,Wattegama,200
60.79,-161.76,801,Clouds,few clouds,02n,stations,75.22,1016,43,73.4,78.8,16093,5.82,170,20,1561701813,1,7640,0.0058,US,1561641375,1561710225,-28800,5880568,Bethel,200
47.66,-52.73,741,Fog,fog,50n,stations,47.93,1022,100,45,51.01,603,2.24,,90,1561701704,1,998,0.0077,CA,1561707309,1561764773,-9000,6167817,Torbay,200
29.54,75.04,800,Clear,clear sky,01d,stations,110.39,995.26,17,110.39,110.39,,13.06,286.23,0,1561702281,,,0.0057,IN,1561680124,1561730620,19800,1256052,Sirsa,200
57.2,56.91,800,Clear,clear sky,01d,stations,61.43,1009.38,71,61.43,61.43,,12.66,119.982,8,1561702124,,,0.0057,RU,1561677512,1561741936,18000,515098,Orda,200
31.21,16.59,800,Clear,clear sky,01d,stations,76.55,1013.31,80,76.55,76.55,,5.26,291.508,0,1561702283,,,0.0063,LY,1561693910,1561744894,7200,2210554,Surt,200
17.01,54.1,301,Drizzle,drizzle,09d,stations,80.6,1005,94,80.6,80.6,5000,10.29,190,90,1561701704,1,7562,0.0121,OM,1561686752,1561734044,14400,286621,Salalah,200
71.98,102.47,801,Clouds,few clouds,02d,stations,66.11,1010.51,48,66.11,66.11,,9.62,315.217,22,1561701700,,,0.007,RU,0,0,25200,2022572,Khatanga,200
14.92,-23.51,801,Clouds,few clouds,02n,stations,73.4,1014,78,73.4,73.4,10000,10.29,20,20,1561701785,1,2462,0.0177,CV,1561705620,1561752434,-3600,3374333,Praia,200
